event_id,user_id,session_id,event_type,event_time,movie_id,duration_ms,success
1,u_0760,s_00001,session_start,2026-08-21 10:01:00,,,
2,u_0760,s_00001,search,2026-08-21 10:01:05,,,
3,u_0760,s_00001,api_request,2026-08-21 10:01:06,,4767,1
4,u_0760,s_00001,random_pick,2026-08-21 10:01:08,,,
5,u_0760,s_00001,view_movie_card,2026-08-21 10:01:18,m_0259,,
6,u_0760,s_00001,view_movie_card,2026-08-21 10:01:28,m_0367,,
7,u_0460,s_00002,session_start,2026-08-18 15:14:00,,,
8,u_0460,s_00002,search,2026-08-18 15:14:14,,,
9,u_0460,s_00002,api_request,2026-08-18 15:14:14,,1607,1
10,u_0460,s_00002,random_pick,2026-08-18 15:14:17,,,
11,u_0460,s_00002,view_movie_card,2026-08-18 15:14:22,m_0048,,
12,u_0619,s_00003,session_start,2026-08-12 22:22:00,,,
13,u_0619,s_00003,search,2026-08-12 22:22:02,,,
14,u_0619,s_00003,api_request,2026-08-12 22:22:05,,3400,1
15,u_0619,s_00003,view_movie_card,2026-08-12 22:22:21,m_0296,,
16,u_0619,s_00003,add_favorite,2026-08-12 22:22:23,m_0296,,
17,u_0792,s_00004,session_start,2026-08-02 19:14:00,,,
18,u_0792,s_00004,search,2026-08-02 19:14:03,,,
19,u_0792,s_00004,api_request,2026-08-02 19:14:05,,3413,1
20,u_0792,s_00004,view_movie_card,2026-08-02 19:14:21,m_0182,,
21,u_0792,s_00004,add_favorite,2026-08-02 19:14:26,m_0182,,
22,u_0792,s_00004,view_movie_card,2026-08-02 19:14:19,m_0312,,
23,u_0168,s_00005,session_start,2026-08-18 20:15:00,,,
24,u_0168,s_00005,search,2026-08-18 20:15:06,,,
25,u_0168,s_00005,api_request,2026-08-18 20:15:11,,2099,1
26,u_0168,s_00005,view_movie_card,2026-08-18 20:15:23,m_0421,,
27,u_0168,s_00005,add_favorite,2026-08-18 20:15:29,m_0421,,
28,u_0168,s_00005,view_movie_card,2026-08-18 20:15:45,m_0138,,
29,u_0168,s_00005,add_favorite,2026-08-18 20:15:51,m_0138,,
30,u_0168,s_00005,view_movie_card,2026-08-18 20:15:44,m_0336,,
